Официальное название,Размерная группа,Породные особенности,Основные факты,Описание
"
Немецкий спаниель",Средние,Умеет за себя постоять / Дружелюбные / Умные / Преданные / Тихие / Живые,"Требуется груминг в умеренном объеме
Терпеливое отношение к другим животным и детям
Требует большой физической активности","Немецкие спаниели — это полные жизни и энтузиазма охотники. Дружелюбные и уверенные в себе в естественной среде, послушные и легко приспосабливаемые, они никогда не бывают робкими или агрессивными, хорошо держат след на больших дистанциях, особенно если их дрессируют и готовят соответствующим образом.
Благодаря своей универсальности они могут использоваться для поиска раненой или потерянной дичи, в том числе в кустарниках, густых лесах и на воде. Немецкие спаниели — это длинношерстные собаки средних размеров с очень хорошо развитыми мышцами, крепким костяком и благородной посадкой головы."
Немецкий шпиц,Средние,Привязчивые / Живые / Преданные / Настороженные / Уверенные / Жизнерадостный,"Требуется постоянный уход за шерстью
Не нуждается в интенсивной дрессировке
Отличная сторожевая собака","Немецкий шпиц — предок большинства признанных сегодня шпицеобразных пород. Красивая шерсть с густым подшерстком — одна из самых очаровательных отличительных черт немецкого шпица. Особенно роскошно выглядит похожий на гриву воротник и пушистый хвост.
Существуют пять разновидностей немецкого шпица: миниатюрный шпиц, малый шпиц, средний шпиц, большой шпиц и вольфшпиц. В странах, которые не входят в число германоязычных, вольфшпицев называют кеесхондами, а миниатюрных шпицев — померанскими шпицами."
"
Нивернский гриффон",Средние,Уверенные / Независимые,"Требуется груминг в умеренном объеме
Необходима дрессировка на послушание","Нивернский гриффон — выдающийся охотник. Его храбрость и инициативность великолепно проявляются в небольших стаях во время охоты на кабанов, выслеживанию которых собака этой породы очень легко обучается. Эти собаки могут быть немного упрямыми и независимыми, поэтому их следует приучать выполнять команды владельца с самого раннего возраста.
У нивернского гриффона очень своеобразная растрепанная шерсть и «борода». Это очень дружелюбный компаньон, невероятно выносливая и крепкая собака с сильными конечностями и мышцами, телосложение которой свидетельствует скорее о выносливости, чем о выдающихся скоростных качествах.

"
Новошотландский ретривер,Средние,Игривые / Умные / Жизнерадостный,"Требуется доступ к площадке на улице
Не нуждается в интенсивной дрессировке
Требуется груминг в умеренном объеме","Новошотландские ретриверы — сильные и умелые пловцы, прирожденные охотники на суше и в воде, готовые действовать в любую минуту. Страсть к подаче подстреленной дичи и игривость — важные составляющие их способности приманивать водоплавающую птицу.
Новошотландские ретриверы — пропорционально сложенные мускулистые собаки с относительно тяжелым костяком. При этом они очень подвижные, бдительные и решительные. У многих новошотландских ретриверов довольно грустный внешний вид, но когда им предстоит работать, они становятся очень сосредоточенными и воодушевленными."
Норботтен шпиц,Средние,Привязчивые / Настороженные / Дружелюбные / Жизнерадостный / Независимые / Умные / Преданные / Уверенные,"Требуется груминг в умеренном объеме
Требует большой физической активности
Хорошо поддается дрессировке","Норботтен шпиц обладает всеми качествами охотничьей собаки — он внимательный и смелый, создает впечатление бдительного, активного, дружелюбного и уверенного в себе животного. Для норботтен шпица не характерно проявление нервозности или робости."
Норвежская гончая,Средние,Дружелюбные / Спокойные / Жизнерадостный / Общительные / Уравновешенные,"Требует минимального ухода за шерстью
Хорошо поддается дрессировке","Норвежские гончие выведены для охоты на зайцев. Также их называют дункерами в честь Вильгельма Дункера, который определил характеристики породы в XIX веке. Это быстрые собаки с тонким чутьем. С ними легко поладить, они очень привязаны к своим владельцам. К сожалению, за пределами Норвегии порода встречается крайне редко.
Это выносливые собаки средних размеров с мощным, но не грузным телом. Норвежские гончие выделяются уникальным мраморным окрасом арлекин, который характерен и для некоторых других редких пород, например для босерона. Это рабочие собаки, которые отличаются большой энергией и жизненной силой и прекрасно проявляют себя на любой местности."
Норвежский бухунд,Средние,Настороженные / Дружелюбные / Уверенные / Умные / Преданные / Тихие / Уравновешенные / Жизнерадостный / Решительные,"Требуется доступ к площадке на улице
Отличная собака для семьи
Требуется груминг в умеренном объеме","Смелые, энергичные и дружелюбные норвежские бухунды редко встречаются за пределами своей родины, но в Норвегии известны как превосходные компаньоны и как собаки, легко поддающиеся дрессировке. Бухунд — типичная шпицеобразная собака квадратного формата, чуть меньше средних размеров. Стоячие заостренные уши подчеркивают настороженный и серьезный вид собаки. Хвост плотно свернут в кольцо и закинут на спину."
Норвежский элкхунд серый,Средние,Уверенные / Живые,"Отличная сторожевая собака
Требуется постоянный уход за шерстью
Требуется доступ к площадке на улице","Серые норвежские элкхунды полны мужества и хладнокровия, которые необходимы для преследования крупных и мощных животных на охоте. Смелый, веселый и готовый защищать серый норвежский элкхунд — это преданная семейная собака.
Эта порода является одной из старейших в Европе. Считается, что элкхунды сопровождали викингов в морских походах. Эти собаки даже фигурируют в норвежском искусстве."
Перуанская орхидея инков,Средние,Привязчивые / Настороженные / Дружелюбные / Преданные,"Отличная сторожевая собака
Требует минимального ухода за шерстью
Требуются умеренные физические нагрузки","Эта собака, также известная как перуанская голая собака, активна и бдительна, недоверчива к посторонним, но очень привязана к своему владельцу и членам его семьи. Перуанская орхидея инков станет для вас любящим и преданным компаньоном.
Если у вас есть и другие домашние питомцы, нужно позаботиться об их безопасности, поскольку у этих собак развит охотничий инстинкт, и они могут воспринимать животных меньших размеров как добычу."
Пикардийская овчарка,Средние,Настороженные / Живые / Умные / Преданные / Тихие / Решительные,"Требуется груминг в умеренном объеме
Отличная сторожевая собака
Терпеливое отношение к другим животным и детям","Прототип породы — пес Тамбур, принадлежавший Эмилю Бедуту. В настоящее время пикардийские овчарки чаще всего используются в качестве сторожевых собак и собак-компаньонов, и, похоже, сами собаки вполне довольны выполнением этих функций. Любители породы хвалят их за доброту, верность, ум и душевное спокойствие, которым они щедро делятся с владельцем. Эти собаки славятся исключительно крепким телосложением и уравновешенным характером."
Поденко ибиценко,Средние,Настороженные / Независимые / Преданные / Тихие / Общительные,"Требует большой физической активности
Требует минимального ухода за шерстью
Отличная собака для семьи","в основном используются для охоты на кроликов как днем, так и ночью. Они легко выслеживают этих животных даже в плотной траве благодаря превосходному чутью, полагаясь на слух больше, чем на зрение.
Подвижные и умные, они, как правило, без труда ловят кроликов, особенно работая в стае. Они также используются для охоты на зайцев и крупную дичь. Могут приносить добычу охотнику. В своре должно быть не более одного кобеля, чтобы между собаками не возникало конфликтов, препятствующих работе."
Польская низинная овчарка,Средние,Живые / Настороженные / Подвижный / Умные / Жизнерадостный,"Требуется постоянный уход за шерстью
Не нуждается в интенсивной дрессировке
Требует большой физической активности","Польская низинная овчарка — это уверенная в себе служебная собака, которая может быть как пастушьей или сторожевой собакой, так и компаньоном для всей семьи.
Собак этой породы высоко ценят на родине за рабочие качества. Эти овчарки с веселым нравом — одна из старейших пород Польши, поскольку ее представители работали на польских полях и фермах еще в XIII веке."
Польская охотничья собака,Средние,Умные / Кроткие / Уверенные,"Хорошо поддается дрессировке
Отличная сторожевая собака
Требует минимального ухода за шерстью","Польские охотничьи собаки — мощные и смелые животные, несмотря на средние размеры. Они подходят для охоты на крупную дичь, например на оленей и кабанов. Собак этой породы можно также использовать для выслеживания более мелкой дичи (например, лис и зайцев) на определенной местности, особенно в горном регионе на юге Польши, где собакам необходимо проявлять настойчивость и выносливость.
Это собаки с кротким, уравновешенным характером, которые могут быть очень смелыми. Они умны и легко поддаются дрессировке, поэтому превосходно подходят на роль сторожевых собак."
Пон-одемерский эпаньоль,Средние,Привязчивые / Кроткие / Жизнерадостный,"Хорошо поддается дрессировке
Требуется доступ к площадке на улице
Требует большой физической активности","Отличительной чертой этой породы является кудрявая шерсть. К сожалению, эта порода встречается довольно редко, как и один из предков этих собак, ирландский водный спаниель. В последнее время эта порода находится на грани исчезновения.
Кроткий нрав, привязчивость и терпеливость к детям и другим животным, а также охотничьи навыки сделали этих собак популярными в качестве ласковых и игривых семейных питомцев."
"
Порселен",Средние,Живые / Кроткие / Общительные,"Любит охотиться
Хорошо ладит с людьми
Требует минимального ухода за шерстью","Порселены — выносливые гончие, которые изначально разводились в регионе Франш-Конте на востоке Франции, в честь которого порода получила одно из своих названий. Белая шерсть делает этих незаурядных собак хорошо заметными даже на расстоянии.
Порселены так называются из-за своего окраса. Оранжевые пятна на фоне белой шерсти поверх пятен черной пигментированной кожи создают эффект прозрачности, напоминающий эмалевое покрытие фарфора (англ. porcelain)."
Португальская водяная собака,Средние,Умные / Послушный / Дружелюбные / Привязчивые / Живые,"Требует большой физической активности
Дружелюбное поведение при общении с детьми
Не нуждается в интенсивной дрессировке","Португальские водяные собаки — крепкие и умные собаки с плотной, курчавой шерстью и сильным желанием проявить свои рабочие качества.
Португальские водяные собаки — выдающиеся пловцы и ныряльщики, известные среди рыбаков не только своей работой в море, но и как охранники лодок и другого имущества. Находясь на борту, эти собаки внимательно следят за происходящим, прыгая и ныряя, чтобы найти рыбу, которой удается соскочить с крючка или выскользнуть из сети.
"
"
Португальская овчарка",Средние,Умные / Живые / Привязчивые / Трудолюбивые / Настороженные,"Отличная спортивная собака
Требуется постоянный уход за шерстью
Отличная сторожевая собака","Эти собаки средних размеров очень умны и подвижны. Они исключительно преданы своим владельцам и будут непоколебимо защищать вверенный им домашний скот или имущество. Португальские овчарки могут с недоверием относиться к незнакомым людям.
По поведению и внешнему виду они напоминают обезьян, из-за чего на родине их называют «собаками-обезьянками». Они славятся тем, что умеют удерживать скот на полях и находить отставших от стада животных."
Португальский бракк,Средние,Привязчивые / Настороженные / Умные / Общительные / Спокойные,"Требуется доступ к площадке на улице
Хорошо поддается дрессировке
Требуется груминг в умеренном объеме","Португальские бракки — очень общительные и спокойные собаки, милые и изящные как внешне, так и по характеру.
Несмотря на то, что о происхождении португальского бракка известно мало, в талантах этой породы нет никаких сомнений. Эти умные собаки демонстрируют высокую работоспособность и удивительное чутье, уверенно указывая на улавливаемый запах. Как только португальские бракки улавливают запах дичи, они могут становиться абсолютно безразличными к тому, что происходит вокруг."
Посавская гончая,Средние,Спокойные / Кроткие / Уравновешенные / Послушный,"Требует минимального ухода за шерстью
Хорошо поддается дрессировке
Требуется доступ к площадке на улице","Посавская гончая, выведенная в долине реки Савы, является старой породой гончих и происходит от типа «иллирийская красно-пегая гончая». Посавская гончая очень послушна, привязана к владельцу и добродушна. Это достаточно живые собаки, которые любят охотиться.
Это очень выносливые гончие, которые специализируются на выслеживании зайцев и лис (в полазе), хотя их также можно использовать для работы по кровяному следу. Крепкое телосложение позволяет им без труда пробираться сквозь густые кустарники в бассейне реки Савы."
Пули,Средние,Живые / Дружелюбные / Привязчивые / Настороженные,"Отличная сторожевая собака
Требуется груминг в умеренном объеме
Хорошо поддается дрессировке","Собаки породы пули отличаются характерным внешним видом. Плотная, густая витая шерсть помогает им переносить суровые венгерские зимы.
Пули выведены для тесного взаимодействия с людьми, поэтому обладают преданным и общительным нравом, легко поддаются обучению. Благодаря дружелюбному характеру они хорошо ладят с другими домашними животными и с детьми."
"
Русско-европейская лайка",Средние,Настороженные / Независимые / Жизнерадостный / Уравновешенные,"Требует большой физической активности
Требует минимального ухода за шерстью","Русско-европейские лайки — собаки средних размеров со сбалансированной конституцией, прочным скелетом и хорошо развитой мускулатурой. С 1940-х годов собак этой породы стали разводить в основном для охоты, закрепив в процессе селекции характерные породные черты, отличающие эту породу от двух других видов лаек.
Этой собаке не подходит малоподвижный образ жизни. Она нуждается в ежедневных физических нагрузках, чтобы выплеснуть свою колоссальную энергию. Таким образом, эта порода лучше всего подходит для активных владельцев, которые проводят много времени на улице.
"
Рыжий бретонский гриффон,Средние,Привязчивые / Общительные / Уравновешенные,"Требуется груминг в умеренном объеме
Хорошо поддается дрессировке
Требуется доступ к площадке на улице","На охоте собаки этой породы демонстрируют храбрость, энтузиазм, упорство и трудолюбие. Рыжие бретонские гриффоны — активные и трудолюбивые собаки, способные объединяться и работать в стае.
Хотя они могут быть относительно независимыми и движимыми лишь охотничьим инстинктом, им нравится дрессировка. При правильном воспитании они становятся послушными собаками, которые сильно привязываются к своим владельцам."
Салюки,Средние,Сдержанные / Умные / Независимые / Уверенные,"Требуется груминг в умеренном объеме
Не нуждается в интенсивной дрессировке
Требуется доступ к площадке на улице","Существуют много разновидностей породы салюки. Это связано с особым местом, которое занимает эта порода в арабских традициях, а также огромной территорией ближневосточного региона, в котором каждое племя выводило свою разновидность этой породы.
Считается, что по поведению салюки похожи на кошек, сдержанно относятся к посторонним, полны достоинства, отличаются умом, и при этом они остаются относительно независимыми. Салюки — невероятно преданные собаки, которые хорошо адаптируются к любой домашней обстановке
"
Самоед,Средние,Уравновешенные / Настороженные / Дружелюбные / Живые / Уверенные / Общительные,"Требуется груминг в умеренном объеме
Хорошо поддается дрессировке
Требуется владелец с некоторым опытом","Характерными чертами этих белых арктических шпицеобразных собак средних размеров являются сила, выносливость, обаяние, грациозность, чувство собственного достоинства и уверенность в себе. Самоеды никогда не проявляют подозрительность или настороженность по отношению к посторонним, поэтому не стоит использовать их в качестве сторожевых собак.
Умному и немного озорному самоеду нужен опытный владелец, который сможет показать собаке, ""кто в доме хозяин""."
Сен-жерменский бракк,Средние,Кроткие / Общительные / Привязчивые / Послушный,"Отличная собака для семьи
Хорошо поддается дрессировке
Требуется груминг в умеренном объеме","Сен-жерменский бракк — это легавая, которую в основном заводят для охоты на птиц, хотя и другой дичи стоит опасаться этих собак. Очень общительные, уравновешенные и ласковые с людьми, сен-жерменские бракки любят тихую жизнь в семье, однако в первую очередь являются охотниками.
Они предпочитают охотиться на фазанов, куропаток и вальдшнепов, которых подают очень аккуратно. Эти собаки легко поддаются дрессировке, но не любят спешки."
Сербская гончая,Средние,Настороженные / Уравновешенные / Общительные,"Требует минимального ухода за шерстью
Требуется владелец с некоторым опытом
Терпеливое отношение к другим животным и детям","Сербские гончие — дружелюбные, живые и очень настойчивые собаки. Они заслужили хорошую репутацию среди охотников благодаря своей способности легко понимать указания.
Сербские гончие отличаются спокойным, общительным нравом, терпеливо относятся к детям и другим животным, поэтому с легкостью привыкают к жизни в семье. Из-за развитого охотничьего инстинкта они больше подходят для активных владельцев."
Сербская трехцветная гончая,Средние,Настороженные / Преданные / Уравновешенные / Общительные / Жизнерадостный / Живые,"Требует минимального ухода за шерстью
Требуется доступ к площадке на улице
Отличная сторожевая собака","Сербские трехцветные гончие — очень обаятельные собаки. Они отличаются средними размерами, крепким телосложением и ценятся за уравновешенный характер, активность и энергичность.
Представители этой породы, как и другие родственные балканские породы, преданны, дружелюбны, уверены в себе и очень упорны.
"
Сибирский хаски,Средние,Дружелюбные / Кроткие / Настороженные / Уверенные / Умные / Полные энтузиазма / Уравновешенные / Трудолюбивые / Независимые,"Хорошо поддается дрессировке
Требует большой физической активности
Требуется доступ к площадке на улице","Сибирские хаски — бдительные и общительные животные с кротким характером. Несмотря на их размеры и внешний вид, они не агрессивны по отношению к другим собакам или человеку, если прошли необходимую дрессировку и получили навыки социализации.
Интеллект, спокойствие и желание угодить владельцу делают сибирских хаски достойными компаньонами и отличными рабочими собаками.
"
Сикоку,Средние,Умеет за себя постоять / Настороженные / Уверенные / Умные / Преданные / Общительные,"Требует большой физической активности
Хорошо поддается дрессировке
Нуждается в опытном владельце","Сикоку славятся своей великолепной выносливостью, острым чутьем и природной энергией. Страстные охотники, отличающиеся привязанностью к владельцу, они упорны и достаточно подвижны для того, чтобы преследовать крупную дичь. Плотный, мягкий подшерсток и короткая, жесткая и прямая шерсть созданы для того, чтобы защищать этих собак в горных условиях Японии."
