Официальное название,Размерная группа,Основные Факты ,Описание
Гавана браун,средние,"Общительные / Тихие / Умные / Дружелюбные / Требуется уход за шерстью в умеренном объеме / Больше всего подходит для постоянного содержания в помещении / Требует постоянного внимания
Гавана браун — это любопытная, игривая и ориентированная на человека кошка. Эти кошки жаждут внимания и отвечают на него большой любовью. Кошки породы гавана браун любознательны и умны, легко приспосабливаются почти к любым ситуациям.
","Для кошек этой породы необходимо общение и взаимодействие с человеком. Как правило, они хорошо ладят с детьми, уживаются с собаками и другими кошками. Представители породы гавана любопытны и любят принимать живое участие во всем, что происходит в доме"
Девон-рекс,средние ,"Общительные / Энергичные / Ласковые / Общительные / Игривые / Требуется доступ на огороженную площадку на улице / Хорошо ладит с людьми

","Девон-рекс — игривая и довольно озорная кошка, преданная своему владельцу. Больше всего эти кошки любят, когда их владелец находится рядом и может с ними поиграть. Эти энергичные маленькие кошки больше подходят для жизни в активной семье, потому что им нравится находиться в обществе людей.

Девон-рексы очень общительны и хорошо приживаются в больших семьях. Они отлично ладят с другими питомцами и с детьми. У этих кошек хороший аппетит, поэтому необходимо строго следить за их рационом, как только они начинают набирать вес. Это особенно важно, если животное стерилизовано."
Донской сфинкс,средние,Активные / Общительные / Ласковые / Умные / Преданные / Требуется уход за шерстью в умеренном объеме / Больше всего подходит для постоянного содержания в помещении / Наиболее счастливы при содержании в паре,"Донские сфинксы — это активные, чрезвычайно дружелюбные, очень умные, привязчивые и преданные своему владельцу кошки. Донские сфинксы добродушны и кротки, и за ними легко ухаживать. У кошек этой породы уравновешенный характер, они проявляют живой интерес к своему окружению и любят играть, самостоятельно изобретая все новые развлечения.

Донские сфинксы бывают различных окрасов и подразделяются на четыре разновидности по типу шерсти: голые «резиновые», флок, велюр и браш. Донские сфинксы несут доминантный ген бесшерстности, вызывающий выпадение шерсти новорожденных котят с возрастом (если она есть при рождении). У всех разновидностей этой породы, за исключением браша, шерсть выпадает при рождении или по мере взросления."
Египетская мау,средние,"Живые / Активные / Чувствительные / Игривые / Умные / Не требует интенсивного ухода за шерстью /Подходит для содержания в помещении и на улице / Отличается пугливостью
Египетские мау — игривые и активные кошки, которые очень умны. Это общительные кошки, они охотно взаимодействуют с людьми и способны строить прочные взаимоотношения с владельцами.
","Египетские мау обычно хорошо ладят с другими животными, включая собак, и любят играть с игрушками. Они любопытны, но держатся на расстоянии от незнакомых людей."
Канадский сфинкс ,средние ,Умные / Ласковые / Активные / Общительные / Требуется уход за шерстью в умеренном объеме / Подходит для содержания в помещении и на улице /Терпеливое отношение к другим животным и детям,"Эту породу невозможно перепутать ни с какой другой. Благодаря бесшерстности она уникальна среди кошачьих. Вместо шерсти эти питомцы с милыми морщинками покрыты легкой пуховой шубкой. Они очень красивы и любят обниматься. Поклонники этой породы в восторге от трепетного отношения канадских сфинксов к людям. Они могут прекрасно переносить недолгое одиночество, но очень рады быть с людьми. Они непременно дадут знать, если им потребуется больше внимания."
Корат,средние ,"Энергичные / Умные / Ласковые / Чувствительные / Спокойные / Тихие / Не требует интенсивного ухода за шерстью / Подходит для содержания в помещении и на улице / Не следует оставлять в одиночестве
Кораты обладают превосходным слухом, зрением и обонянием. Эти животные деликатны, обладают бесшумной и плавной походкой и плохо переносят громкие и резкие звуки.
","Они крепко привязываются к владельцам, любят сидеть на руках и стараются держаться как можно ближе к человеку. Кораты — активные и игривые кошки, но при этом очень аккуратные в играх с детьми. Это спокойная и очень тихая порода кошек с негромким и мелодичным голосом."
Корниш-рекс,средние ,"Активные / Игривые / Общительные / Общительные / Ласковые / Требуется уход за шерстью в умеренном объеме /Требуется доступ на огороженную площадку на улице / Требуются большие физические нагрузки
Несмотря на то, что кошки породы корниш-рекс хрупкие на вид, на самом деле они очень крепкие. Они идеально подойдут тем, кто хочет, чтобы кошка активно участвовала в жизни семьи.
","Корниш-рексы очень любят сидеть на коленях и идут на руки не только к владельцам. Они отлично ладят с другими животными и станут идеальным питомцем для детей. Эти кошки любят бегать и взбираться наверх, поэтому им нужно достаточно пространства для жизни. Корниш-рексы также любят гулять на огороженном участке или в саду."
Курильский бобтейл,средние ,"Дружелюбные / Общительные / Спокойные / Тихие / Активные  / Требуется уход за шерстью в умеренном объеме / Подходит для содержания в помещении и на улице / Необходим игровой комплекс для кошек
Кошки породы курильский бобтейл могут быть короткошерстными или полудлинношерстными. Они обладают очень дружелюбным, уравновешенным и мирным характером. Курильские бобтейлы отличаются отменным здоровьем, спокойствием, доверчивостью и общительностью.
","Их нелегко разозлить, и они хорошо приспосабливаются к любым условиям содержания. Представители этой породы очень хорошо ладят с детьми, собаками и другими кошками."
Кхаомани,средние ,"Общительные / Активные / Общительные / Игривые / Требуется уход за шерстью в умеренном объеме / Больше всего подходит для постоянного содержания в помещении / Хорошо ладит с людьми
Кошки породы кхаомани отзывчивы, очень дружелюбны и общительны. Они активны, любопытны и общительны, временами могут громко вокализировать.
","Кхаомани доброжелательно встречают всех, кто приходит в дом, и очень ласковы со всеми членами семьи. Обладая игривой натурой, они с удовольствием участвуют в играх с детьми."
Манчкин,средние ,"Игривые / Общительные / Дружелюбные  / Требуется уход за шерстью в умеренном объеме / Больше всего подходит для постоянного содержания в помещении / Терпеливое отношение к другим животным и детям
Эти кошки общительны и чрезвычайно игривы. Они любят бегать, преследовать добычу и играть с игрушками. Хорошо чувствуют себя в компании, в том числе с детьми, собаками и другими домашними животными.
","Взобраться с пола на шкаф одним прыжком они не могут, но им хватает ловкости и сообразительности, чтобы взять высоту в несколько этапов."
Мэнская кошка ,средние ,"Уравновешенные / Общительные / Тихие / Игривые / Подходит для содержания в помещении и на улице / Требуется уход за шерстью в умеренном объеме / Хорошо ладит с людьми
Мэнские кошки очень спокойны, умны и общительны. Эти кошки очень общительны с людьми и устанавливает тесную связь со своей семьей. Представители этой породы хорошо ладят с детьми и другими питомцами, если грамотно провести процедуру знакомства.
","Эти уравновешенные тихие кошки очень ласковы и не любят долгое время оставаться одни. Если вы планируете надолго оставлять животное в одиночестве, стоит подумать о приобретении второй мэнской кошки, чтобы ваш питомец не скучал."
Немецкий рекс,средние ,"Игривые / Ласковые / Преданные / Требуется уход за шерстью в умеренном объеме / Больше всего подходит для постоянного содержания в помещении / Хорошо ладит с людьми
Гавана браун — это любопытная, игривая и ориентированная на человека кошка. Эти кошки жаждут внимания и отвечают на него большой любовью. Кошки породы гавана браун любознательны и умны, легко приспосабливаются почти к любым ситуациям.
","Для кошек этой породы необходимо общение и взаимодействие с человеком. Как правило, они хорошо ладят с детьми, уживаются с собаками и другими кошками. Представители породы гавана любопытны и любят принимать живое участие во всем, что происходит в доме."
"
Ориентал",средние ,"Живые / Умные / Общительные / Общительные / Требуется уход за шерстью в умеренном объеме / Подходит для содержания в помещении и на улице / Требует постоянного внимания
Ориенталы не любят, когда их игнорируют, и предпочитают быть в центре внимания. Поэтому они могут требовать уделять им много времени и сильно привязываются к одному владельцу.
","Ориентальные кошки обладают сильным характером, и, как правило, громким голосом, который они часто используют в общении с человеком. Они любят находиться среди людей и очень нуждаются в общении с ними."
Оцикэт,средние ,"Общительные / Активные / Уверенные / Умные / Не требует интенсивного ухода за шерстью / Подходит для содержания в помещении и на улице / Терпеливое отношение к другим животным и детям
Оцикэты — уверенные кошки, которые любят общаться с гостями дома. Они обладают ярким характером и легко усваивают правила, установленные в доме, в котором они живут. В сочетании с их характером, ориентированным на человека, это означает, что они быстро научатся выполнять ваши команды.
","Оцикэты — общительные кошки, которые не любят оставаться в одиночестве. Они лучше всего подойдут для больших активных семей и будут страдать, если их надолго оставить в одиночестве."
Петербургский сфинкс,средние ,"Умные / Живые / Игривые / Больше всего подходит для постоянного содержания в помещении / Требуется уход за шерстью в умеренном объеме / Терпеливое отношение к другим животным и детям
Петербургские сфинксы очень привязаны к людям и любят, когда их держат на руках. У этих кошек встречаются три типа шерсти: совсем бесшерстные, тонкая «персиковая» или более длинная шерсть, похожая на велюр с коротким ворсом. Они очень хорошо ладят с другими кошками, с собаками и детьми, поскольку обычно очень игривы.
",Петербургский сфинкс часто выбирает одного члена семьи в качестве своего любимца и очень ему предан
Пикси-боб,средние ,"Умные / Общительные / Активные / Игривые / Требуется уход за шерстью в умеренном объеме / Подходит для содержания в помещении и на улице / Терпеливое отношение к другим животным и детям
Пикси-бобы — умные, общительные, активные, смелые кошки, которым нравится играть с другими животными. Они любознательны и дружелюбны, стремятся постоянно находиться рядом с владельцем и общаются, издавая очень разнообразные звуки: стрекотание, щебет и даже рычание.
","Хвост пикси-боба может быть коротким или средней длины; допускаются узлы и изломы, но хвост в любом случае должен оставаться гибким. Он требует очень осторожного обращения."
Русская голубая,средние ,"Общительные / Умные / Дружелюбные / Игривые / Требуется доступ на огороженную площадку на улице / Не требует интенсивного ухода за шерстью/ Терпеливое отношение к другим животным и детям
Русские голубые — это игривые, дружелюбные кошки, способные легко адаптироваться к любой остановке. Эти кошки без труда принимают других животных и терпеливы с детьми.
","За кошками этой породы легко ухаживать, и от владельца не требуется никаких особых умений. Однако если выпускать этих кошек на улицу, то только на безопасный огороженный участок, во избежание травм."
"
Сейшельская кошка",средние ,"Умные / Живые / Общительные / Общительные / Дружелюбные / Требуется уход за шерстью в умеренном объеме / Подходит для содержания в помещении и на улице / Требует постоянного внимания
Сейшельские кошки очень умны, обладают живым и игривым характером, они станут преданными и любящими питомцами. Эти кошки остаются активными и сохраняют игривость на протяжении всей жизни. Сейшельские кошки не любят, когда их игнорируют, они всегда должны быть в центре внимания.
",Они также любят находиться среди людей и нуждаются в постоянном общении с ними. Эти кошки часто сильно привязываются к одному человеку.
Сиамская кошка,средние ,"Активные кошки / Нуждаются во внимании, любят физический контакт / Общительные, ласковые и доверчивые / Кошки из сиамо-ориентальной группы умеют пользоваться своими голосовыми связками, меняя тональность и высоту звука для выражения своих требований и чувств / Легко поддаются дрессировке","Красивый, дерзкий внешний вид и царственная осанка делают сиамцев узнаваемыми и популярными. Однако по характеру они больше напоминают собак. Ласковые, общительные, игривые, они сильно привязываются к своим владельцам, любят проводить время с детьми и другими домашними животными. Как правило, у них есть любимые игрушки, игра с которыми никогда их не утомляет — они готовы даже принести одну из них, если вы ее бросите! "
Сингапурская кошка,мелкие,"Уверенные / Игривые / Умные / Дружелюбные / Общительные / Требуется уход за шерстью в умеренном объеме
Больше всего подходит для постоянного содержания в помещении
Требует постоянного внимания
Сингапурская кошка — любопытная, открытая, игривая маленькая кошка, которая проявляют интерес ко всему, чем занимается владелец. При этом она не слишком озорная.","
Кошки этой породы очень умны, контактны с людьми и сохраняют эти качества даже в пожилом возрасте. Сингапурская кошка отличается живым нравом и активностью. Это дружелюбная игривая кошка с мягким и нежным мяуканьем. Кроме того, она хорошо ладит с другими кошками."
Сноу-шу,средние ,"Общительные / Дружелюбные / Игривые / Умные / Активные / Требуется уход за шерстью в умеренном объеме / Подходит для содержания в помещении и на улице / Требует постоянного внимания
Сноу-шу — непривередливая порода, легко приспосабливающаяся к жизни в семье. Эти кошки общительны и дружелюбны, хорошо уживаются с другими животными и детьми.
","Большинство сноу-шу сильно привязываются к определенному человеку, но и с другими членами семьи общаются охотно. Сноу-шу очень игривы и требуют внимания владельца. Они очень умны, любознательны и активны, а голос у них мелодичный и тихий."
Сококе,средние ,"Умные / Активные / Ласковые / Игривые / Требуется уход за шерстью в умеренном объеме / Подходит для содержания в помещении и на улице / Неприхотливость в уходе
Сококе — активные, умные и ласковые кошки, при этом не слишком требующие внимания от своих владельцев. Кошки этой породы идеально подходят для жизни в семье, они любят играть, исследовать пространство или просто отдыхать рядом с владельцем.
","Шерсть сококе имеет характерный рисунок, так называемый мраморный табби, а благодаря проявлению агути-окраса на однородных участках выглядят эти животные очень необычно."
Тайская кошка,средние ,"Ласковые / Общительные / Общительные / Игривые / Активные / Требует постоянного внимания / Больше всего подходит для постоянного содержания в помещении / Не требует интенсивного ухода за шерстью
Тайские кошки очень общительны и любят находиться среди людей. Благодаря спокойному, дружелюбному характеру они могут легко приспособиться к жизни с другими кошками, собаками и прочими домашними животными.
","Тайским кошкам требуется много общения с владельцами, они нередко следуют по пятам за членами семьи и участвуют во всем, что происходит вокруг."
Тонкинская,средние ,"Активные / Ласковые / Настороженные / Дружелюбные / Требует постоянного внимания / Требуется уход за шерстью в умеренном объеме / Подходит для содержания в помещении и на улице
Тонкинские кошки любят находиться среди людей и всегда быть в центре внимания.
","Кошки тонкинской породы очень общительны и предпочитают жить вместе с другими кошками. Умные и невероятно ласковые тонкинские кошки становятся активными участниками всего, что происходит в доме."
Абиссинская кошка ,средние ,"Общительные / Активные / Преданные / Общительные / Привязчивые / Требует постоянного внимания / Подходит для содержания в помещении и на улице / Не требует интенсивного ухода за шерстью
Абиссинские кошки могут быть очень ласковыми, но только на своих условиях и по настроению. Они очень обаятельны, но могут быть чрезмерно озорными.
","Абиссинская кошка игривая и активная, она хорошо подходит на роль товарища по играм. По мере взросления она крепко привязывается к людям и старается всегда находиться рядом с ними. Абиссинская кошка — общительная, энергичная, преданная и довольно общительная порода."
Ангорская кошка ,средние ,"Легко приспосабливаются / Привязчивые / Игривые / Уверенные / Терпеливое отношение к другим животным и детям / Больше всего подходит для постоянного содержания в помещении / Не требует интенсивного ухода за шерстью

","Ангорские кошки — не только умные, но и отлично приспосабливающиеся животные, привязчивые и игривые, в связи с чем они хорошо подходят для семей с маленькими детьми и становятся прекрасными компаньонами для пожилых людей.

Ангорские кошки не любят, когда их гладят посторонние люди, это позволено только владельцу. У них сильный характер, они уверены в себе, но нуждаются во внимании своих владельцев и не любят оставаться одни."
Ван Кедиси,крупные ,"Независимые / Общительные / Активные / Игривые / Требуется уход за шерстью в умеренном объеме / Подходит для содержания в помещении и на улице / Предрасположенность к глухоте
Ваны Кедиси обычно выбирают одного человека в качестве владельца, с которым у них складываются тесные отношения. Это очень игривые, активные и разговорчивые кошки, которые нуждаются в физических нагрузках и любят возиться с интерактивными игрушками.
","Их овальные глаза часто разноцветные: один голубой, другой янтарный. Общеизвестно, что белые кошки более подвержены глухоте, и ваны Кедиси не являются исключением."
Кимрик,средние ,"Спокойные / Общительные / Ласковые / Требуется уход за шерстью в умеренном объеме / Подходит для содержания в помещении и на улице / Требуются большие физические нагрузки
Кимрики — очень спокойные кошки с высоким социальным интеллектом. Они ориентированы на человека и искренне привязываются к членам своей семьи.
","Представители этой породы хорошо ладят с детьми и другими питомцами, если грамотно провести процедуру знакомства. Эти уравновешенные, спокойные кошки очень ласковы и не любят надолго оставаться в одиночестве."
Лаперм,средние ,"Умные / Ласковые / Активные / Общительные / Общительные / Требуется уход за шерстью в умеренном объеме / Подходит для содержания в помещении и на улице / Терпеливое отношение к другим животным и детям
Лаперм — активная и общительная кошка, которая любит находиться рядом с владельцем и участвовать во всем, что происходит в его жизни. Эта преданная кошка с кротким нравом нуждается в контакте с человеком.
","Благодаря ласковому и привязчивому характеру лапермы хорошо уживаются с детьми и другими домашними животными, что делает их идеальными компаньонами для всей семьи."
Мэйн - кун ,крупная,Умные / Ласковые / Активные / Общительные / Требуется уход за шерстью в умеренном объеме / Подходит для содержания в помещении и на улице / Терпеливое отношение к другим животным и детям," Активные грациозные мейн-куны известны во всем мире своими внушительными размерами. Несмотря на читающиеся во взгляде суровость и независимость, это прекрасные компаньоны, которые найдут общий язык со всеми членами семьи.

"
Невская маскарадная,средние ,"Живые / Умные / Ласковые / Тихие / Общительные / Энергичные / Требуется уход за шерстью в умеренном объеме / Подходит для содержания в помещении и на улице / Требует постоянного внимания
Невские маскарадные хорошо ладят с другими кошками, собаками и детьми. Несмотря на свои размеры, они довольно подвижны и любят высоко прыгать.
","Эти кошки нуждаются во внимании своих владельцев, но не любят, когда их сильно прижимают к себе и гладят незнакомые люди."
Норвежская лесная кошка,средние ,Умные / Ласковые / Активные / Общительны / Требуется уход за шерстью в умеренном объеме / Подходит для содержания в помещении и на улице / Терпеливое отношение к другим животным и детям,"Эти добродушные «великаны» обладают дружелюбным, спокойным и часто игривым нравом. Благодаря этому они идеально подходят для семей с детьми. В отличие от некоторых других кошек, они сильно привязываются ко всем членам семьи; кроме того, у них ласковый характер. Норвежские лесные славятся своими внушительными размерами, объемной шерстью и, благодаря кисточкам на ушах, почти рысьим внешним видом. Родом они из Северной Европы, как следует из названия, и комфортно чувствуют себя в более холодном климате."
Рагамаффин,крупные ,"Привязчивые / Ласковые / Игривые / Спокойные / Больше всего подходит для постоянного содержания в помещении / Требуется уход за шерстью в умеренном объеме / Терпеливое отношение к другим животным и детям
Рагамаффины — яркие кошки разнообразных окрасов: однотонные, табби, белые, черепаховые или минк. Они будут счастливо жить и в большой семье, и с супружескими парами без детей, и с холостяками, и с пожилыми людьми — и станут для них прекрасными любящими компаньонами.
","Ласковые и игривые, эти добродушные кошки дружелюбны с детьми и прекрасно ладят с другими животными в доме, что делает их идеальным семейным питомцем. Их спокойный и привязчивый характер позволяет им терпеливо сносить шумные игры."
Рэгдолл ,крупные ,Спокойная порода / Общительная и привязанная к хозяину / Тихая / Крупная порода / Требует ухода за шерстью один раз в день / Негипоаллергенная порода / любит прогулки на улице / Готова к жизни с детьми,"Рэгдолл часто входит в топы самых популярных пород в мире, поскольку он сочетает в себе самые лучшие качества. Помимо того, что это исключительно красивая порода — огромные голубые глаза, роскошная шерсть и бархатистые лапки, она также является представителем одной из крупных пород кошек, что делает этих кошек весьма притягательными. Это очень умные животные, они спокойные, послушные, общительные и к тому же ласковые. Даже название породы на английском языке («rag doll» — тряпичная кукла) отражает их пассивность и расслабленность, когда их берут на руки."
Священная бирма,средние,"Общительные / Преданные / Привязчивые / Тихие / Игривые / Активные / Требуется уход за шерстью в умеренном объеме / Больше всего подходит для постоянного содержания в помещении / Хорошо ладит с людьми
общительны, достойны доверия и дружелюбны. Поскольку они не требуют к себе особого отношения, многие считают их идеальными питомцами. Они любят быть рядом с людьми. Темперамент этих кошек можно описать как «хорошо сбалансированный». Они игривы и активны, но при этом нетребовательны, они общительны, но не стараются всегда быть в центре внимания.
","Все кошки этой породы с удовольствием живут вместе с людьми и другими домашними животными, если правильно их познакомить. Представители породы священная бирма — уравновешенные, терпеливые и привязчивые кошки, которые отлично подходят для семей с детьми."
Селкирк-рекс,средние,"Тихие / Уравновешенные / Живые / Привязчивые / Требуется уход за шерстью в умеренном объеме / Подходит для содержания в помещении и на улице / Терпеливое отношение к другим животным и детям
Селкирк-рексы — это очень тихие, терпимые, живые, уравновешенные и умные кошки.
","От британской короткошерстной представители этой породы унаследовали сдержанность, от персидской — ласковый нрав, а от экзотической — игривость."
Скоттиш-страйт ,средние,"Умные / Преданные / Дружелюбные / Общительные / Тихие / Не требует интенсивного ухода за шерстью / Подходит для содержания в помещении и на улице / Хорошо ладит с людьми
У кошек этой породы и у кошек породы скоттиш-фолд одно происхождение, и рождаются они в одном помете, единственное различие между ними — это форма ушей.
","Уши скоттиш-фолда загнуты вперед и вниз к голове, а у скоттиш-страйта стоячие уши среднего размера. Скоттиш-фолды любят не только подремать в тишине. Они игривы и отлично ладят как с детьми, так и с другими домашними животными, к знакомству с которыми их необходимо правильно подготовить."
Скоттиш-фолд ,средние,"Умные / Преданные / Дружелюбные / Требуется интенсивный уход за шерстью / Подходит для содержания в помещении и на улице / Терпеливое отношение к другим животным и детям
","Скоттиш-фолды умны, любознательны и преданы своей семье. Они редко мяукают, но если все же хотят пообщаться, то используют свой высокий и тонкий голос.Кошки этой породы хорошо ладят с детьми, а при правильном знакомстве — и с другими питомцами."
Сомалийская ,средние,"Активные / Умные / Игривые / Ласковые / Требуются большие физические нагрузки / Требуется доступ на огороженную площадку на улице / Требуется уход за шерстью в умеренном объеме
Родственная абиссинским кошкам, длинношерстная сомалийская порода представляет собой сочетание красоты и индивидуальности.
","
Эти кошки — воплощение всех качеств идеального животного-компаньона для большинства людей: они активно, живо и внимательно участвуют во всем, что их заинтересует, но когда игра закончится, они будут пытаться захватить все внимание и получить всю заботу, которые готовы предоставить им владельцы."
Турецкий ван,средние,Преданные / Привязчивые / Ласковые / Активные / Умные / Общительные / Требуется уход за шерстью в умеренном объеме / Не всегда хорошо ладят с детьми / Подходит для содержания в помещении и на улице,"Турецкий ван — умная, преданная, привязчивая и ласковая кошка, для которой характерна высокая активность. Она постоянно нуждается в физической нагрузке, например на прогулке или во время игры с интерактивными игрушками для кошек.
Турецких ванов не рекомендуется заводить в семьях с очень маленькими детьми, так как эти кошки довольно сильны и склонны к ""грубым"" играм. Чувствуя угрозу, они часто встают на задние лапы."
Шартрез,средние,"Тихие / Привязчивые / Преданные / Спокойные / Не требует интенсивного ухода за шерстью / Неприхотливость в уходе / Больше всего подходит для постоянного содержания в помещении
Кошки породы шартрез хорошо ладят с другими кошками, собаками и детьми. Представители этой породы не нуждаются в постоянном внимании, но любят находиться рядом с владельцем. Они будут следовать за ним по всему дому, но все-таки на небольшом расстоянии.
","Это очень ненавязчивые кошки. Шартрезы любят взбираться наверх и славятся своим умением охотиться. Вероятно, эти особенности напрямую связаны с тем, что по своей природе они являются хищниками."
"
Японский бобтейл",средние,Умные / Игривые / Энергичные / Привязчивые / Дружелюбные / Живые / Общительные / Требуется уход за шерстью в умеренном объеме / Больше всего подходит для постоянного содержания в помещении / Хорошо ладит с людьми,"Японский бобтейл — очень умная кошка, которая проявляет интерес ко всему, что происходит в доме. Представители этой породы хорошо ладят с другими кошками, собаками и детьми и нуждаются в обществе людей.

Эти кошки обладают сильным характером и общаются с владельцем мелодичными вокализациями. Японский бобтейл быстро обучается, легко осваивает новые игры и быстро приспосабливается к новым условиям."
